order_id,order_date,order_time,customer_id,store_location,product,flavor,quantity,price_per_unit,total_price,payment_method,order_type,promotion
24,10/19/2024,1,24,Suburb,Coffee,,2,1.07,2.14,Mobile,Delivery,None
24,10/19/2024,1,24,Midtown,Donut,Blueberry Cake,3,2.92,8.76,Credit Card,Delivery,Buy 1 Get 1
25,10/31/2024,19,25,Downtown,Hot Tea,,2,2.74,5.48,Cash,In-store,10% Off
26,11/4/2024,13,26,Midtown,Hot Tea,,6,3.36,20.16,Credit Card,In-store,None
26,11/4/2024,13,26,Midtown,Coffee,,3,1.13,3.39,Cash,In-store,None
27,11/23/2024,15,27,Uptown,Donut,Cinnamon Sugar,5,1.94,9.7,Credit Card,Delivery,10% Off
27,11/23/2024,15,27,Midtown,Hot Tea,,6,2.23,13.38,Credit Card,Delivery,10% Off
28,10/20/2024,18,28,Midtown,Coffee,,4,2.99,11.96,Credit Card,In-store,10% Off
29,12/25/2024,18,29,Uptown,Hot Tea,,4,2.64,10.56,Mobile,Delivery,Buy 1 Get 1
29,12/25/2024,18,29,Midtown,Donut,Lemon Glazed,5,2.96,14.8,Mobile,Delivery,10% Off
29,12/25/2024,18,29,Suburb,Coffee,,5,2.42,12.1,Credit Card,In-store,None
30,10/19/2024,13,30,Suburb,Hot Tea,,1,3.46,3.46,Credit Card,Delivery,Buy 1 Get 1
30,10/19/2024,13,30,Suburb,Coffee,,2,1.07,2.14,Mobile,In-store,None
30,10/19/2024,13,30,Midtown,Donut,Lemon Glazed,2,3.16,6.32,Mobile,Delivery,Buy 1 Get 1
31,11/26/2024,15,31,Midtown,Donut,Maple Bar,4,1.66,6.64,Cash,In-store,Buy 1 Get 1
32,10/21/2024,18,32,Downtown,Coffee,,4,3,12,Mobile,Delivery,10% Off
32,10/21/2024,18,32,Midtown,Donut,Chocolate Twist,6,3.58,21.48,Mobile,In-store,10% Off
33,12/9/2024,2,33,Downtown,Donut,Old Fashioned,3,2.32,6.96,Cash,Delivery,None
33,12/9/2024,2,33,Suburb,Hot Tea,,5,1.24,6.2,Cash,Delivery,10% Off
34,11/7/2024,4,34,Downtown,Coffee,,1,2.24,2.24,Credit Card,Delivery,None
35,11/23/2024,7,35,Uptown,Coffee,,4,2.17,8.68,Credit Card,Delivery,None
36,11/29/2024,19,36,Midtown,Hot Tea,,3,3.26,9.78,Credit Card,In-store,None
37,10/26/2024,22,37,Midtown,Hot Tea,,4,2.46,9.84,Mobile,Delivery,10% Off
38,10/29/2024,18,38,Midtown,Donut,Chocolate Twist,5,2.6,13,Credit Card,In-store,Buy 1 Get 1
39,12/28/2024,2,39,Downtown,Donut,Chocolate Twist,4,1.55,6.2,Mobile,Delivery,Buy 1 Get 1
39,12/28/2024,2,39,Midtown,Donut,Cinnamon Sugar,3,3.28,9.84,Mobile,Delivery,None
39,12/28/2024,2,39,Uptown,Donut,Pumpkin Spice,1,3.25,3.25,Mobile,In-store,10% Off
40,11/20/2024,3,40,Uptown,Donut,Jelly Filled,2,1.6,3.2,Credit Card,In-store,Buy 1 Get 1
41,12/19/2024,17,41,Midtown,Donut,Maple Bar,5,3.84,19.2,Credit Card,Delivery,None
42,11/20/2024,1,42,Uptown,Donut,Chocolate Twist,3,1.32,3.96,Mobile,Delivery,None
43,10/20/2024,13,43,Suburb,Coffee,,1,2.78,2.78,Cash,Delivery,10% Off
43,10/20/2024,13,43,Midtown,Donut,Lemon Glazed,1,2.04,2.04,Credit Card,Delivery,Buy 1 Get 1
43,10/20/2024,13,43,Midtown,Hot Tea,,1,3.55,3.55,Cash,Delivery,None
44,11/20/2024,15,44,Downtown,Donut,Chocolate Twist,4,1.53,6.12,Credit Card,Delivery,None
44,11/20/2024,15,44,Suburb,Donut,Lemon Glazed,3,1.97,5.91,Cash,Delivery,None
44,11/20/2024,15,44,Midtown,Coffee,,4,2.71,10.84,Mobile,In-store,None
45,11/8/2024,11,45,Downtown,Coffee,,4,1.64,6.56,Mobile,Delivery,10% Off
45,11/8/2024,11,45,Suburb,Hot Tea,,5,1.03,5.15,Cash,In-store,10% Off
46,11/19/2024,9,46,Midtown,Donut,Apple Fritter,2,3.07,6.14,Mobile,In-store,Buy 1 Get 1
46,11/19/2024,9,46,Suburb,Hot Tea,,2,2.21,4.42,Mobile,Delivery,None
47,11/15/2024,17,47,Downtown,Hot Tea,,4,3.99,15.96,Mobile,Delivery,None
47,11/15/2024,17,47,Suburb,Hot Tea,,3,1.69,5.07,Mobile,In-store,10% Off
47,11/15/2024,17,47,Midtown,Coffee,,2,1.65,3.3,Mobile,Delivery,Buy 1 Get 1
48,10/23/2024,19,48,Downtown,Hot Tea,,2,2.08,4.16,Cash,In-store,None
49,10/8/2024,4,49,Suburb,Donut,Apple Fritter,3,3.09,9.27,Credit Card,Delivery,Buy 1 Get 1
50,11/21/2024,16,50,Downtown,Hot Tea,,4,2.44,9.76,Cash,In-store,None
51,12/18/2024,22,51,Uptown,Donut,Maple Bar,4,2.48,9.92,Cash,In-store,10% Off
51,12/18/2024,22,51,Uptown,Hot Tea,,1,3.98,3.98,Credit Card,Delivery,10% Off
52,12/29/2024,17,52,Midtown,Coffee,,5,2.14,10.7,Mobile,Delivery,None
52,12/29/2024,17,52,Suburb,Donut,Lemon Glazed,6,1.3,7.8,Credit Card,In-store,None
52,12/29/2024,17,52,Uptown,Donut,Chocolate Twist,2,1.52,3.04,Cash,In-store,None
53,11/25/2024,18,53,Downtown,Donut,Blueberry Cake,1,1.69,1.69,Credit Card,Delivery,Buy 1 Get 1
53,11/25/2024,18,53,Suburb,Coffee,,3,3.36,10.08,Mobile,In-store,10% Off
54,12/5/2024,7,54,Uptown,Coffee,,3,3.48,10.44,Cash,In-store,None
55,10/17/2024,14,55,Downtown,Hot Tea,,4,1.37,5.48,Credit Card,Delivery,None
55,10/17/2024,14,55,Midtown,Donut,Pumpkin Spice,1,2.79,2.79,Credit Card,Delivery,10% Off
55,10/17/2024,14,55,Uptown,Hot Tea,,1,1.27,1.27,Credit Card,Delivery,10% Off
56,10/30/2024,21,56,Midtown,Coffee,,4,2.56,10.24,Mobile,In-store,10% Off
57,12/1/2024,10,57,Downtown,Donut,Maple Bar,4,2.04,8.16,Mobile,In-store,Buy 1 Get 1
57,12/1/2024,10,57,Downtown,Hot Tea,,4,3.08,12.32,Credit Card,Delivery,10% Off
58,10/27/2024,13,58,Uptown,Donut,Maple Bar,3,1.76,5.28,Mobile,In-store,10% Off
59,12/12/2024,12,59,Downtown,Donut,Vanilla Frosted,1,1.56,1.56,Credit Card,Delivery,10% Off
59,12/12/2024,12,59,Suburb,Donut,Jelly Filled,2,1.8,3.6,Mobile,Delivery,10% Off
59,12/12/2024,12,59,Suburb,Donut,Maple Bar,1,3.92,3.92,Credit Card,In-store,None
60,11/23/2024,1,60,Uptown,Donut,Apple Fritter,4,1.28,5.12,Mobile,In-store,10% Off
60,11/23/2024,1,60,Downtown,Coffee,,4,3.8,15.2,Credit Card,Delivery,None
60,11/23/2024,1,60,Suburb,Donut,Pumpkin Spice,2,2.37,4.74,Mobile,In-store,10% Off
61,12/29/2024,8,61,Midtown,Coffee,,1,1.83,1.83,Mobile,Delivery,Buy 1 Get 1
61,12/29/2024,8,61,Midtown,Hot Tea,,6,1.9,11.4,Cash,Delivery,10% Off
61,12/29/2024,8,61,Midtown,Donut,Cinnamon Sugar,3,2.66,7.98,Mobile,Delivery,Buy 1 Get 1
62,10/29/2024,19,62,Midtown,Coffee,,5,2.15,10.75,Cash,Delivery,10% Off
62,10/29/2024,19,62,Suburb,Donut,Vanilla Frosted,4,3.97,15.88,Mobile,In-store,Buy 1 Get 1
62,10/29/2024,19,62,Midtown,Hot Tea,,1,3.62,3.62,Cash,Delivery,Buy 1 Get 1
63,10/20/2024,22,63,Suburb,Coffee,,4,3.61,14.44,Cash,Delivery,None
63,10/20/2024,22,63,Uptown,Hot Tea,,5,3.08,15.4,Mobile,Delivery,None
63,10/20/2024,22,63,Suburb,Donut,Apple Fritter,1,2.85,2.85,Credit Card,Delivery,Buy 1 Get 1
64,11/15/2024,4,64,Uptown,Donut,Vanilla Frosted,1,3.28,3.28,Mobile,In-store,10% Off
64,11/15/2024,4,64,Uptown,Hot Tea,,1,1.14,1.14,Mobile,Delivery,None
64,11/15/2024,4,64,Suburb,Donut,Chocolate Twist,2,2.59,5.18,Cash,In-store,Buy 1 Get 1
65,11/6/2024,7,65,Suburb,Donut,Lemon Glazed,6,1.72,10.32,Cash,Delivery,10% Off
65,11/6/2024,7,65,Uptown,Hot Tea,,4,1.77,7.08,Mobile,Delivery,10% Off
65,11/6/2024,7,65,Downtown,Coffee,,1,2.33,2.33,Credit Card,Delivery,10% Off
66,12/7/2024,21,66,Suburb,Hot Tea,,4,3.54,14.16,Mobile,Delivery,Buy 1 Get 1
66,12/7/2024,21,66,Downtown,Coffee,,4,2.72,10.88,Credit Card,Delivery,Buy 1 Get 1
67,11/25/2024,23,67,Uptown,Donut,Blueberry Cake,1,2.7,2.7,Credit Card,Delivery,None
67,11/25/2024,23,67,Suburb,Coffee,,5,3.41,17.05,Credit Card,In-store,10% Off
67,11/25/2024,23,67,Suburb,Hot Tea,,6,3.27,19.62,Credit Card,In-store,10% Off
68,12/2/2024,13,68,Downtown,Donut,Blueberry Cake,4,1.1,4.4,Credit Card,In-store,Buy 1 Get 1
68,12/2/2024,13,68,Suburb,Hot Tea,,3,3.24,9.72,Cash,In-store,10% Off
68,12/2/2024,13,68,Downtown,Hot Tea,,5,2.51,12.55,Cash,Delivery,None
69,12/21/2024,11,69,Uptown,Hot Tea,,1,2.4,2.4,Cash,In-store,10% Off
69,12/21/2024,11,69,Midtown,Donut,Apple Fritter,3,1.27,3.81,Cash,Delivery,10% Off
70,10/7/2024,6,70,Downtown,Donut,Cinnamon Sugar,6,3.25,19.5,Credit Card,Delivery,10% Off
71,10/6/2024,13,71,Downtown,Donut,Old Fashioned,4,1.08,4.32,Credit Card,In-store,10% Off
71,10/6/2024,13,71,Midtown,Donut,Pumpkin Spice,6,1.91,11.46,Cash,In-store,Buy 1 Get 1
72,11/24/2024,9,72,Suburb,Hot Tea,,4,1.35,5.4,Credit Card,In-store,None
73,10/28/2024,16,73,Midtown,Hot Tea,,6,3.85,23.1,Credit Card,In-store,None
73,10/28/2024,16,73,Downtown,Donut,Pumpkin Spice,5,2.22,11.1,Cash,Delivery,Buy 1 Get 1
74,10/29/2024,6,74,Downtown,Donut,Old Fashioned,3,1.3,3.9,Credit Card,Delivery,Buy 1 Get 1
74,10/29/2024,6,74,Midtown,Donut,Blueberry Cake,2,3.9,7.8,Cash,In-store,10% Off
75,10/27/2024,6,75,Suburb,Donut,Jelly Filled,3,1.73,5.19,Credit Card,In-store,Buy 1 Get 1
75,10/27/2024,6,75,Suburb,Coffee,,5,1.65,8.25,Mobile,In-store,10% Off
75,10/27/2024,6,75,Downtown,Donut,Blueberry Cake,2,3.96,7.92,Cash,In-store,10% Off
76,11/7/2024,19,76,Suburb,Coffee,,1,2.07,2.07,Credit Card,Delivery,Buy 1 Get 1
77,12/15/2024,23,77,Midtown,Hot Tea,,1,1.38,1.38,Credit Card,In-store,10% Off
78,11/25/2024,0,78,Uptown,Donut,Pumpkin Spice,3,2.54,7.62,Mobile,In-store,10% Off
79,12/1/2024,20,79,Uptown,Hot Tea,,4,2.93,11.72,Cash,Delivery,None
80,10/13/2024,6,80,Uptown,Donut,Pumpkin Spice,6,3.73,22.38,Cash,Delivery,10% Off
80,10/13/2024,6,80,Downtown,Coffee,,1,1.38,1.38,Mobile,Delivery,None
81,10/29/2024,4,81,Suburb,Donut,Maple Bar,6,1.34,8.04,Mobile,Delivery,Buy 1 Get 1
81,10/29/2024,4,81,Uptown,Donut,Cinnamon Sugar,4,2.2,8.8,Mobile,Delivery,None
81,10/29/2024,4,81,Midtown,Hot Tea,,3,3.86,11.58,Cash,In-store,Buy 1 Get 1
82,10/25/2024,10,82,Suburb,Donut,Maple Bar,6,3.22,19.32,Credit Card,In-store,10% Off
83,10/18/2024,14,83,Downtown,Hot Tea,,6,1.37,8.22,Credit Card,Delivery,10% Off
83,10/18/2024,14,83,Uptown,Donut,Blueberry Cake,5,1.94,9.7,Credit Card,In-store,Buy 1 Get 1
83,10/18/2024,14,83,Downtown,Donut,Old Fashioned,1,2.05,2.05,Cash,Delivery,10% Off
84,11/5/2024,4,84,Uptown,Donut,Apple Fritter,5,2.84,14.2,Credit Card,Delivery,Buy 1 Get 1
85,11/10/2024,11,85,Downtown,Hot Tea,,6,3.29,19.74,Mobile,In-store,Buy 1 Get 1
86,12/9/2024,20,86,Uptown,Donut,Maple Bar,2,3.22,6.44,Cash,In-store,None
87,10/25/2024,1,87,Downtown,Donut,Cinnamon Sugar,2,2.11,4.22,Credit Card,In-store,Buy 1 Get 1
87,10/25/2024,1,87,Uptown,Coffee,,2,3.26,6.52,Credit Card,In-store,None
88,10/22/2024,8,88,Downtown,Donut,Pumpkin Spice,5,2.33,11.65,Cash,In-store,None
88,10/22/2024,8,88,Midtown,Donut,Maple Bar,3,3.03,9.09,Credit Card,Delivery,Buy 1 Get 1
89,11/19/2024,14,89,Downtown,Donut,Lemon Glazed,1,1.02,1.02,Cash,In-store,None
90,10/25/2024,22,90,Midtown,Hot Tea,,1,1.02,1.02,Cash,In-store,None
90,10/25/2024,22,90,Downtown,Coffee,,5,2.68,13.4,Cash,Delivery,10% Off
91,11/1/2024,4,91,Downtown,Donut,Jelly Filled,4,3.76,15.04,Credit Card,Delivery,10% Off
92,12/25/2024,0,92,Downtown,Donut,Blueberry Cake,1,2.22,2.22,Cash,Delivery,10% Off
92,12/25/2024,0,92,Uptown,Hot Tea,,1,2.31,2.31,Cash,Delivery,10% Off
93,12/24/2024,17,93,Suburb,Donut,Vanilla Frosted,3,3.24,9.72,Mobile,In-store,Buy 1 Get 1
93,12/24/2024,17,93,Downtown,Donut,Apple Fritter,5,1.58,7.9,Mobile,In-store,Buy 1 Get 1
94,12/13/2024,21,94,Suburb,Coffee,,3,1.59,4.77,Credit Card,In-store,Buy 1 Get 1
95,12/29/2024,14,95,Midtown,Donut,Pumpkin Spice,5,3.28,16.4,Credit Card,Delivery,10% Off
95,12/29/2024,14,95,Midtown,Hot Tea,,2,2.32,4.64,Mobile,Delivery,None
95,12/29/2024,14,95,Midtown,Donut,Cinnamon Sugar,5,1.22,6.1,Mobile,In-store,Buy 1 Get 1
96,10/24/2024,19,96,Uptown,Hot Tea,,1,2.93,2.93,Credit Card,Delivery,None
96,10/24/2024,19,96,Downtown,Donut,Pumpkin Spice,5,2.96,14.8,Credit Card,Delivery,10% Off
97,12/29/2024,20,97,Downtown,Donut,Pumpkin Spice,1,3.43,3.43,Credit Card,In-store,10% Off
98,11/23/2024,11,98,Midtown,Coffee,,1,1.74,1.74,Mobile,In-store,None
98,11/23/2024,11,98,Downtown,Hot Tea,,3,2.16,6.48,Credit Card,In-store,10% Off
98,11/23/2024,11,98,Midtown,Hot Tea,,1,1.99,1.99,Mobile,Delivery,10% Off
99,11/9/2024,2,99,Suburb,Coffee,,3,1.24,3.72,Mobile,Delivery,10% Off
99,11/9/2024,2,99,Uptown,Donut,Chocolate Twist,5,3.13,15.65,Mobile,Delivery,10% Off
99,11/9/2024,2,99,Uptown,Hot Tea,,2,3.01,6.02,Credit Card,Delivery,10% Off
100,12/8/2024,2,100,Suburb,Donut,Cinnamon Sugar,3,1.54,4.62,Mobile,Delivery,Buy 1 Get 1
100,12/8/2024,2,100,Downtown,Coffee,,2,1.46,2.92,Cash,In-store,10% Off
101,10/26/2024,8,101,Suburb,Coffee,,5,2.13,10.65,Cash,In-store,10% Off
101,10/26/2024,8,101,Suburb,Donut,Jelly Filled,4,2.09,8.36,Mobile,Delivery,10% Off
102,12/26/2024,3,102,Midtown,Coffee,,5,1.72,8.6,Cash,Delivery,10% Off
102,12/26/2024,3,102,Midtown,Donut,Pumpkin Spice,3,3.33,9.99,Cash,In-store,10% Off
103,12/15/2024,15,103,Downtown,Hot Tea,,1,2.92,2.92,Credit Card,In-store,10% Off
104,12/8/2024,19,104,Downtown,Donut,Blueberry Cake,1,3.29,3.29,Mobile,In-store,None
104,12/8/2024,19,104,Uptown,Donut,Old Fashioned,4,3.65,14.6,Mobile,In-store,None
104,12/8/2024,19,104,Uptown,Hot Tea,,2,2.16,4.32,Mobile,In-store,Buy 1 Get 1
105,11/16/2024,23,105,Downtown,Donut,Cinnamon Sugar,2,1.41,2.82,Mobile,In-store,10% Off
105,11/16/2024,23,105,Uptown,Donut,Pumpkin Spice,5,1.02,5.1,Cash,Delivery,Buy 1 Get 1
106,12/18/2024,1,106,Uptown,Donut,Maple Bar,3,1.71,5.13,Cash,In-store,None
107,10/19/2024,0,107,Midtown,Donut,Maple Bar,1,3.51,3.51,Credit Card,In-store,10% Off
107,10/19/2024,0,107,Midtown,Coffee,,6,1.43,8.58,Cash,Delivery,Buy 1 Get 1
107,10/19/2024,0,107,Downtown,Donut,Chocolate Twist,6,3,18,Cash,In-store,None
108,10/15/2024,2,108,Uptown,Donut,Vanilla Frosted,3,1.76,5.28,Mobile,In-store,None
108,10/15/2024,2,108,Uptown,Coffee,,6,2.97,17.82,Credit Card,Delivery,Buy 1 Get 1
109,12/19/2024,11,109,Suburb,Hot Tea,,5,2.02,10.1,Credit Card,Delivery,10% Off
110,11/11/2024,23,110,Midtown,Coffee,,2,1.19,2.38,Cash,Delivery,Buy 1 Get 1
110,11/11/2024,23,110,Downtown,Donut,Old Fashioned,1,1.95,1.95,Credit Card,Delivery,10% Off
111,10/30/2024,21,111,Suburb,Hot Tea,,1,3.26,3.26,Mobile,Delivery,Buy 1 Get 1
111,10/30/2024,21,111,Downtown,Hot Tea,,3,1.37,4.11,Mobile,Delivery,10% Off
112,11/30/2024,22,112,Midtown,Donut,Cinnamon Sugar,2,2.49,4.98,Mobile,Delivery,Buy 1 Get 1
112,11/30/2024,22,112,Suburb,Donut,Maple Bar,4,2.81,11.24,Credit Card,Delivery,None
113,10/23/2024,16,113,Midtown,Donut,Cinnamon Sugar,6,1.89,11.34,Credit Card,Delivery,Buy 1 Get 1
114,12/27/2024,17,114,Downtown,Donut,Cinnamon Sugar,4,1.13,4.52,Credit Card,Delivery,None
114,12/27/2024,17,114,Downtown,Donut,Maple Bar,6,2.91,17.46,Credit Card,In-store,Buy 1 Get 1
114,12/27/2024,17,114,Midtown,Coffee,,5,3.03,15.15,Cash,In-store,Buy 1 Get 1
115,11/24/2024,19,115,Uptown,Hot Tea,,3,2.15,6.45,Credit Card,In-store,10% Off
116,12/13/2024,22,116,Uptown,Hot Tea,,3,2.33,6.99,Credit Card,In-store,10% Off
116,12/13/2024,22,116,Downtown,Hot Tea,,4,1.94,7.76,Cash,In-store,Buy 1 Get 1
117,10/24/2024,12,117,Uptown,Coffee,,4,2.55,10.2,Mobile,Delivery,10% Off
117,10/24/2024,12,117,Midtown,Donut,Old Fashioned,5,1.86,9.3,Cash,In-store,Buy 1 Get 1
117,10/24/2024,12,117,Midtown,Donut,Pumpkin Spice,2,3.7,7.4,Cash,Delivery,10% Off
118,12/18/2024,20,118,Downtown,Donut,Apple Fritter,5,1.87,9.35,Cash,In-store,None
118,12/18/2024,20,118,Suburb,Coffee,,1,3.96,3.96,Cash,Delivery,Buy 1 Get 1
119,10/13/2024,17,119,Suburb,Hot Tea,,4,3.41,13.64,Credit Card,In-store,Buy 1 Get 1
119,10/13/2024,17,119,Midtown,Hot Tea,,4,4,16,Credit Card,Delivery,None
120,11/29/2024,9,120,Midtown,Donut,Chocolate Twist,3,2.93,8.79,Mobile,Delivery,Buy 1 Get 1
120,11/29/2024,9,120,Uptown,Coffee,,2,2.3,4.6,Cash,In-store,None
120,11/29/2024,9,120,Suburb,Coffee,,2,1.97,3.94,Mobile,Delivery,Buy 1 Get 1
121,10/13/2024,2,121,Downtown,Coffee,,6,3.87,23.22,Cash,Delivery,10% Off
121,10/13/2024,2,121,Suburb,Donut,Apple Fritter,6,1.51,9.06,Cash,Delivery,10% Off
122,11/20/2024,2,122,Downtown,Donut,Maple Bar,1,3.85,3.85,Credit Card,In-store,10% Off
123,11/20/2024,16,123,Downtown,Donut,Pumpkin Spice,6,2.64,15.84,Mobile,In-store,10% Off
123,11/20/2024,16,123,Uptown,Donut,Blueberry Cake,4,1.22,4.88,Cash,Delivery,None
124,11/29/2024,5,124,Downtown,Donut,Old Fashioned,3,2.82,8.46,Credit Card,Delivery,10% Off
124,11/29/2024,5,124,Downtown,Hot Tea,,4,1.39,5.56,Credit Card,In-store,None
125,12/28/2024,5,125,Suburb,Donut,Maple Bar,3,2.35,7.05,Cash,In-store,None
126,11/24/2024,18,126,Downtown,Donut,Old Fashioned,2,3.44,6.88,Cash,In-store,None
126,11/24/2024,18,126,Uptown,Donut,Pumpkin Spice,3,2.49,7.47,Mobile,Delivery,Buy 1 Get 1
127,10/14/2024,3,127,Midtown,Hot Tea,,1,1.15,1.15,Credit Card,Delivery,None
128,11/12/2024,14,128,Downtown,Donut,Maple Bar,4,1.4,5.6,Credit Card,Delivery,None
128,11/12/2024,14,128,Suburb,Hot Tea,,1,2.2,2.2,Mobile,Delivery,Buy 1 Get 1
128,11/12/2024,14,128,Downtown,Donut,Apple Fritter,4,3.29,13.16,Credit Card,In-store,Buy 1 Get 1
129,10/29/2024,4,129,Downtown,Donut,Cinnamon Sugar,3,2.67,8.01,Cash,In-store,10% Off
130,11/12/2024,6,130,Suburb,Donut,Apple Fritter,1,1.14,1.14,Credit Card,Delivery,None
130,11/12/2024,6,130,Suburb,Donut,Chocolate Twist,5,3.68,18.4,Mobile,Delivery,Buy 1 Get 1
130,11/12/2024,6,130,Downtown,Donut,Lemon Glazed,6,3.53,21.18,Credit Card,Delivery,10% Off
131,11/19/2024,23,131,Downtown,Hot Tea,,4,3.45,13.8,Mobile,In-store,None
131,11/19/2024,23,131,Uptown,Hot Tea,,6,3.62,21.72,Credit Card,Delivery,None
131,11/19/2024,23,131,Midtown,Coffee,,6,1.15,6.9,Cash,Delivery,Buy 1 Get 1
132,10/26/2024,12,132,Uptown,Coffee,,1,2.72,2.72,Cash,In-store,None
132,10/26/2024,12,132,Suburb,Hot Tea,,4,1.45,5.8,Mobile,Delivery,10% Off
